origin,destination,distance,duration
5901 Larchwood Ave,704 W Girard Ave,10973,1591
8398 Lindbergh Blvd,6027 Chestnut St,9733,1259
1419 Wharton St,2530 Wharton St,2089,430
521-23 W. Lehigh Ave.,8398 Lindbergh Blvd,22150,1566
8398 Lindbergh Blvd,1801 W Diamond St,19549,1721
8398 Lindbergh Blvd,100 E. Lehigh Ave.,22455,1564
8398 Lindbergh Blvd,1220 S. 58th St,6581,796
1801 W Diamond St,2530 Wharton St,11217,1431
8398 Lindbergh Blvd,169 W. Wyoming Ave.,26645,1646
3101 Ridge Ave.,6500 Castor Ave,13612,1277
8398 Lindbergh Blvd,2000 N 11th St,20633,1548
5901 Larchwood Ave,735 W. Butler St.,15857,1627
100 E. Lehigh Ave.,5901 Larchwood Ave,16560,1765
1510 W Oxford St,1429 W Clearfield St,3106,525
521-23 W. Lehigh Ave.,1429 W Clearfield St,2021,328
8398 Lindbergh Blvd,6434 Castor Ave,30671,2043
8398 Lindbergh Blvd,900 E Howell St,30720,2157
8398 Lindbergh Blvd,537 E. Wyoming Ave.,28449,1837
5901 Larchwood Ave,4355 Paul St,19530,1856
6027 Chestnut St,4700 Wyalusing Ave.,3022,485
4667 Paul St.,1429 W Clearfield St,7655,1166
1419 Wharton St,2703 Tasker St,2372,463
100 E. Lehigh Ave.,1429 W Clearfield St,3359,628
8398 Lindbergh Blvd,1419 Wharton St,9659,1285
1419 Wharton St,3001 Walnut St.,3562,692
3101 Ridge Ave.,1429 W Clearfield St,3651,629
8398 Lindbergh Blvd,2703 Tasker St,8520,1021
8398 Lindbergh Blvd,704 W Girard Ave,19297,1306
6027 Chestnut St,769 N 39th St,4653,669
6027 Chestnut St,3101 Ridge Ave.,7572,1215
6027 Chestnut St,935 S 53rd St,2923,437
8398 Lindbergh Blvd,735 W. Butler St.,26735,1743
1419 Wharton St,2455 S. 3rd Street,3337,675
4667 Paul St.,4520 Benner St,2554,509
6500 Castor Ave,1429 W Clearfield St,9499,1188
8398 Lindbergh Blvd,2059 E Chelten Ave,27550,1622
4667 Paul St.,537 E. Wyoming Ave.,3877,599
1220 S. 58th St,1220 S. 58th St,0,0
1220 S. 58th St,935 S 53rd St,1160,194
4667 Paul St.,6434 Castor Ave,3636,663
4667 Paul St.,2059 E Chelten Ave,1961,406
5901 Larchwood Ave,180 E Tulpehocken St,16171,1769
1419 Wharton St,935 S 53rd St,6420,1136
1419 Wharton St,1510 W Oxford St,5387,1127
6027 Chestnut St,2703 Tasker St,6861,1111
4355 Paul St,1429 W Clearfield St,6560,1028
5901 Larchwood Ave,4667 Paul St.,20720,2012
1419 Wharton St,1801 W Diamond St,6552,1323
1419 Wharton St,1429 W Clearfield St,7930,1466
5901 Larchwood Ave,100 E. Lehigh Ave.,15561,1871
1419 Wharton St,735 W. Butler St.,17982,1555
6500 Castor Ave,5901 Larchwood Ave,19927,2126
1419 Wharton St,3101 Ridge Ave.,9569,1271
704 W Girard Ave,1429 W Clearfield St,4472,682
8398 Lindbergh Blvd,6500 Castor Ave,30743,2039
1419 Wharton St,180 E Tulpehocken St,18296,1697
6027 Chestnut St,537 E. Wyoming Ave.,17080,1583
6027 Chestnut St,2530 Wharton St,6578,1049
5901 Larchwood Ave,1429 W Clearfield St,16091,1763
4667 Paul St.,704 W Girard Ave,12472,1097
1220 S. 58th St,2703 Tasker St,5710,943
4667 Paul St.,100 E. Lehigh Ave.,5716,1055
6027 Chestnut St,1429 W Clearfield St,15600,1625
6027 Chestnut St,1419 Wharton St,8166,1372
1419 Wharton St,769 N 39th St,6497,1214
6027 Chestnut St,169 W. Wyoming Ave.,15276,1391
1419 Wharton St,8398 Lindbergh Blvd,10897,1131
1220 S. 58th St,8398 Lindbergh Blvd,7795,934
6027 Chestnut St,900 E Howell St,19547,1910
1419 Wharton St,3223 W Clifford St,8607,1141
4667 Paul St.,3001 Walnut St.,15545,1287
1419 Wharton St,2000 N 11th St,6257,1249
2703 Tasker St,1429 W Clearfield St,17465,1258
1220 S. 58th St,4700 Wyalusing Ave.,4317,761
3001 Walnut St.,1429 W Clearfield St,11058,1364
8398 Lindbergh Blvd,4667 Paul St.,27614,1705
1419 Wharton St,169 W. Wyoming Ave.,17892,1458
6027 Chestnut St,735 W. Butler St.,15366,1489
1419 Wharton St,4700 Wyalusing Ave.,7677,1400
6027 Chestnut St,3001 Walnut St.,5214,779
4667 Paul St.,4355 Paul St,1242,259
4667 Paul St.,3101 Ridge Ave.,17875,1373
4667 Paul St.,169 W. Wyoming Ave.,4951,820
4667 Paul St.,735 W. Butler St.,6636,1042
4700 Wyalusing Ave.,1429 W Clearfield St,12726,1178
1419 Wharton St,2059 E Chelten Ave,15844,1430
4667 Paul St.,3223 W Clifford St,16913,1243
